Endpoint,Method,Parameters,Local Time Avg (ms),Local Time Min (ms),Local Time Max (ms),Local Time StdDev (ms),Local Size Avg (bytes),Local Size Min (bytes),Local Size Max (bytes),Local Size StdDev (bytes),Local Status,External Time Avg (ms),External Time Min (ms),External Time Max (ms),External Time StdDev (ms),External Size Avg (bytes),External Size Min (bytes),External Size Max (bytes),External Size StdDev (bytes),External Status,Timestamp,Error
/maqamat,GET,,122.60,114.00,156.00,12.07,381536,381536,381536,0,200,3028.70,738.00,17872.00,5039.11,381536,381536,381536,,200,2025-11-06T20:41:51.870Z,
/maqamat?filterByFamily=ajam,GET,filterByFamily=ajam,115.20,108.00,139.00,8.92,13520,13520,13520,0,200,725.60,655.00,940.00,82.59,13520,13520,13520,,200,2025-11-06T20:42:01.250Z,
/maqamat?filterByFamily=kurd,GET,filterByFamily=kurd,110.20,107.00,116.00,2.36,35179,35179,35179,0,200,702.50,658.00,778.00,38.94,35179,35179,35179,,200,2025-11-06T20:42:10.349Z,
/maqamat?filterByTonic=ajam_ushayran,GET,filterByTonic=ajam_ushayran,110.20,107.00,120.00,3.43,13520,13520,13520,0,200,696.70,655.00,888.00,68.12,13520,13520,13520,,200,2025-11-06T20:42:19.389Z,
/maqamat?filterByFamily=ajam&filterByTonic=ajam_ushayran,GET,filterByFamily=ajam&filterByTonic=ajam_ushayran,140.10,109.00,240.00,39.63,13520,13520,13520,0,200,664.40,652.00,679.00,8.94,13520,13520,13520,,200,2025-11-06T20:42:28.404Z,
/maqamat?filterByFamily=kurd&filterByTonic=ajam_ushayran,GET,filterByFamily=kurd&filterByTonic=ajam_ushayran,123.30,115.00,132.00,4.03,21,21,21,0,200,701.00,650.00,805.00,53.65,21,21,21,,200,2025-11-06T20:42:37.616Z,
/maqamat?filterByTonic=nawa,GET,filterByTonic=nawa,111.00,108.00,125.00,4.96,16973,16973,16973,0,200,733.60,650.00,974.00,88.89,16973,16973,16973,,200,2025-11-06T20:42:47.035Z,
/maqamat?filterByFamily=ajam&filterByTonic=nawa,GET,filterByFamily=ajam&filterByTonic=nawa,110.10,108.00,115.00,1.81,21,21,21,0,200,672.30,644.00,742.00,27.12,21,21,21,,200,2025-11-06T20:42:55.829Z,
/maqamat?filterByFamily=kurd&filterByTonic=nawa,GET,filterByFamily=kurd&filterByTonic=nawa,111.60,107.00,131.00,6.59,21,21,21,0,200,692.90,649.00,829.00,52.56,21,21,21,,200,2025-11-06T20:43:04.845Z,
/maqamat?sortBy=tonic,GET,sortBy=tonic,113.90,110.00,128.00,4.83,381536,381536,381536,0,200,750.90,699.00,1035.00,96.60,381536,381536,381536,,200,2025-11-06T20:43:14.502Z,
